label,num_qubits,depth,two_qubit_gate_count,two_qubit_depth,expected_p,exact_p,exact_abs_dev,ideal_shot_p,ideal_shot_abs_dev,noisy_shot_p,noisy_shot_abs_dev,exact_error,ideal_sim_error,noisy_sim_error
g0_k2_logical,3,18,0,0,0.25000000000000033,0.24999999999999972,6.106226635438361e-16,0.23681640625,0.013183593750000333,,,,,
g0_k2_saved_qasm,3,180,24,24,0.25000000000000033,0.24999999999999836,1.970645868709653e-15,0.23681640625,0.013183593750000333,0.2841796875,0.03417968749999967,,,
g0_k2_opt0,3,180,24,24,0.25000000000000033,0.2499999999999996,7.216449660063518e-16,0.23681640625,0.013183593750000333,0.2841796875,0.03417968749999967,,,
g0_k2_opt1,3,85,21,21,0.25000000000000033,0.49999999999999967,0.24999999999999933,0.25634765625,0.006347656249999667,0.3134765625,0.06347656249999967,,,
g0_k2_opt2,3,71,19,19,0.25000000000000033,0.2500000000000009,5.551115123125783e-16,0.23681640625,0.013183593750000333,0.27392578125,0.023925781249999667,,,
g0_k2_opt3,3,71,19,19,0.25000000000000033,0.5000000000000003,0.25,0.2578125,0.007812499999999667,0.2841796875,0.03417968749999967,,,
