case_id,k,backend,job_id,shots,expected_p,p_hat,p_abs_dev,binomial_sigma,z_score,abs_z_score,status,transpiled_depth,two_qubit_gate_count,two_qubit_depth
g1,0,ibm_fez,d9pfq0m28h6s739r8lk0,2048,0.5000000000000001,0.50439453125,0.004394531249999889,0.011048543456039806,0.3977475644174229,0.3977475644174229,pass,18,4,4
g1,1,ibm_fez,d9pfq0t7skus73cktcag,2048,0.4999999999999996,0.53076171875,0.03076171875000039,0.011048543456039806,2.784232950922066,2.784232950922066,pass,78,18,18
g1,2,ibm_fez,d9pfq13bvhrs73a2ilvg,2048,0.5000000000000002,0.51123046875,0.011230468749999778,0.011048543456039806,1.0164659979556419,1.0164659979556419,pass,152,36,36
