case_id,discretization_error,family,group_id,ks,mlae_a_hat,mlae_estimation_error,num_qubits,oracle_queries,quadrature_value,rule,total_error,total_shots,true_integral
affine_shifted,0.0,stress,affine_shifted_n2_midpoint,"[0, 1]",0.5029802201029745,0.10798022010297448,2,8192,0.395,midpoint,0.10798022010297448,4096,0.395
g1,1.3322676295501878e-15,calibration,g1_n2_midpoint,"[0, 1]",0.4947264738409024,0.005273526159097597,2,8192,0.5,midpoint,0.005273526159098929,4096,0.5000000000000013
g2,0.0,calibration,g2_n2_midpoint,"[0, 1, 2]",0.503518226592236,0.0035182265922359957,2,18432,0.5,midpoint,0.0035182265922359957,6144,0.5
smooth_bump,0.0006403605143229935,stress,smooth_bump_n3_midpoint,"[0, 1, 2]",0.03205978129575865,0.0019139125518976008,3,18432,0.03397369384765625,midpoint,0.0012735520375746073,6144,0.03333333333333326
