case_id,k,backend,job_id,shots,expected_p,p_hat,p_abs_dev,binomial_sigma,z_score,abs_z_score,status,transpiled_depth,two_qubit_gate_count,two_qubit_depth
g0,0,ibm_fez,d9pfm0m28h6s739r8hk0,2048,0.24999999999999994,0.24609375,0.0039062499999999445,0.009568319307746789,-0.40824829046385724,0.40824829046385724,pass,5,0,0
g0,2,ibm_fez,d9pfm13bvhrs73a2ii3g,2048,0.25000000000000033,0.29736328125,0.04736328124999967,0.009568319307746794,4.950010521874302,4.950010521874302,watch,71,19,19
