a_exact,backend,backend_status,campaign_id,case_id,counts,expected_p_k,fetch_status,fetched_utc,initial_layout,job_id,k,label,logical_metrics,m_ancilla,optimization_level,p_abs_dev,p_hat,prepared_utc,purpose,qasm_path,result_path,runtime_options,seed,shots,structural_metrics,submitted,submitted_utc,transpile_seconds,transpiled_metrics,transpiled_two_qubit_depth,usage_before_submission
0.25,ibm_fez,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase2_g0_mitigation_ibm_fez_opt2_dd_twirling,g0,"{""000"": 377, ""001"": 390, ""010"": 393, ""011"": 386, ""100"": 146, ""101"": 111, ""110"": 130, ""111"": 115}",0.24999999999999994,DONE,2026-08-05T09:49:50.226103+00:00,,d9pgca57skus73cku01g,0,g0_constant_quarter,"{""depth"": 2, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 3, ""operation_counts"": {""h"": 2, ""measure"": 3, ""ry"": 1}, ""size"": 6, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",502,2,0.0048828124999999445,0.2451171875,2026-08-05T09:45:06.262310+00:00,Test whether Runtime-level DD and twirling reduce the residual g0 k=2 bias.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase2_g0_mitigation_ibm_fez_opt2_dd_twirling/20260805T094505Z/circuits/g0_k0_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase2_g0_mitigation_ibm_fez_opt2_dd_twirling/20260805T094505Z/results/result_g0_k0_d9pgca57skus73cku01g.json,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,"{""canonical_length"": 1.480960979386122, ""maximum_degree"": 0, ""minimum_m1_stratum"": 4, ""multilinear_support"": 1}",True,2026-08-05T09:45:12.181172+00:00,0.843421540921554,"{""depth"": 5, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 10, ""operation_counts"": {""measure"": 3, ""rz"": 6, ""sx"": 4}, ""size"": 13, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 159}",0,"{""estimated_remaining_seconds"": 9386.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1414, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
0.25,ibm_fez,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase2_g0_mitigation_ibm_fez_opt2_dd_twirling,g0,"{""000"": 374, ""001"": 379, ""010"": 338, ""011"": 361, ""100"": 162, ""101"": 145, ""110"": 132, ""111"": 157}",0.25000000000000033,DONE,2026-08-05T09:52:54.244374+00:00,,d9pgcae28h6s739r99fg,2,g0_constant_quarter,"{""depth"": 18, ""multi_qubit_gate_count"": 2, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 33, ""operation_counts"": {""ccx"": 2, ""h"": 14, ""measure"": 3, ""ry"": 5, ""x"": 12, ""z"": 2}, ""size"": 38, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",596,2,0.04101562499999967,0.291015625,2026-08-05T09:45:06.290112+00:00,Test whether Runtime-level DD and twirling reduce the residual g0 k=2 bias.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase2_g0_mitigation_ibm_fez_opt2_dd_twirling/20260805T094505Z/circuits/g0_k2_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase2_g0_mitigation_ibm_fez_opt2_dd_twirling/20260805T094505Z/results/result_g0_k2_d9pgcae28h6s739r99fg.json,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,"{""canonical_length"": 1.480960979386122, ""maximum_degree"": 0, ""minimum_m1_stratum"": 4, ""multilinear_support"": 1}",True,2026-08-05T09:45:13.699309+00:00,0.02681775006931275,"{""depth"": 71, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 70, ""operation_counts"": {""cz"": 19, ""measure"": 3, ""rz"": 30, ""sx"": 38, ""x"": 2}, ""size"": 92, ""swap_count"": 0, ""two_qubit_gate_count"": 19, ""width"": 159}",19,"{""estimated_remaining_seconds"": 9386.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1414, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
