a_exact,backend,backend_status,campaign_id,case_id,counts,expected_p_k,fetch_status,fetched_utc,initial_layout,job_id,k,label,logical_metrics,m_ancilla,optimization_level,p_abs_dev,p_hat,prepared_utc,purpose,qasm_path,result_path,seed,shots,structural_metrics,submitted,submitted_utc,transpile_seconds,transpiled_metrics,transpiled_two_qubit_depth,usage_before_submission
0.25,ibm_fez,"{""operational"": true, ""pending_jobs"": 1, ""status_msg"": ""active""}",phase1_calibration_ibm_fez,g0,"{""000"": 370, ""001"": 364, ""010"": 395, ""011"": 393, ""100"": 128, ""101"": 129, ""110"": 116, ""111"": 153}",0.24999999999999994,DONE,2026-08-05T08:46:01.502379+00:00,,d9pfdjt7skus73cksvp0,0,g0_constant_quarter,"{""depth"": 2, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 3, ""operation_counts"": {""h"": 2, ""measure"": 3, ""ry"": 1}, ""size"": 6, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",526,0,0.0068359375000000555,0.2568359375,2026-08-05T08:39:31.876928+00:00,Amplitude calibration and degeneracy-avoiding MLAE schedule.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/circuits/g0_k0_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/results/result_g0_k0_d9pfdjt7skus73cksvp0.json,12345,2048,"{""canonical_length"": 1.480960979386122, ""maximum_degree"": 0, ""minimum_m1_stratum"": 4, ""multilinear_support"": 1}",True,2026-08-05T08:39:44.077733+00:00,1.020826124935411,"{""depth"": 6, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 11, ""operation_counts"": {""measure"": 3, ""rz"": 7, ""sx"": 4}, ""size"": 14, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 159}",0,"{""estimated_remaining_seconds"": 9434.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1366, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
0.25,ibm_fez,"{""operational"": true, ""pending_jobs"": 1, ""status_msg"": ""active""}",phase1_calibration_ibm_fez,g0,"{""000"": 186, ""001"": 172, ""010"": 255, ""011"": 211, ""100"": 191, ""101"": 200, ""110"": 436, ""111"": 397}",0.25000000000000033,DONE,2026-08-05T08:46:02.486232+00:00,,d9pfdke28h6s739r88kg,2,g0_constant_quarter,"{""depth"": 18, ""multi_qubit_gate_count"": 2, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 33, ""operation_counts"": {""ccx"": 2, ""h"": 14, ""measure"": 3, ""ry"": 5, ""x"": 12, ""z"": 2}, ""size"": 38, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",1224,0,0.34765624999999967,0.59765625,2026-08-05T08:39:31.885980+00:00,Amplitude calibration and degeneracy-avoiding MLAE schedule.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/circuits/g0_k2_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/results/result_g0_k2_d9pfdke28h6s739r88kg.json,12345,2048,"{""canonical_length"": 1.480960979386122, ""maximum_degree"": 0, ""minimum_m1_stratum"": 4, ""multilinear_support"": 1}",True,2026-08-05T08:39:45.514294+00:00,0.007716000080108643,"{""depth"": 180, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 203, ""operation_counts"": {""cz"": 24, ""measure"": 3, ""rz"": 115, ""sx"": 76, ""x"": 12}, ""size"": 230, ""swap_count"": 0, ""two_qubit_gate_count"": 24, ""width"": 159}",24,"{""estimated_remaining_seconds"": 9434.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1366, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
0.5,ibm_fez,"{""operational"": true, ""pending_jobs"": 1, ""status_msg"": ""active""}",phase1_calibration_ibm_fez,g1,"{""000"": 408, ""001"": 172, ""010"": 312, ""011"": 43, ""100"": 95, ""101"": 305, ""110"": 237, ""111"": 476}",0.5000000000000001,DONE,2026-08-05T08:46:03.695840+00:00,,d9pfdkjbvhrs73a2i9ag,0,sin2_pi_x_over_2,"{""depth"": 10, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 7, ""operation_counts"": {""cx"": 4, ""h"": 2, ""measure"": 3, ""ry"": 5}, ""size"": 14, ""swap_count"": 0, ""two_qubit_gate_count"": 4, ""width"": 6}",1113,0,0.04345703124999989,0.54345703125,2026-08-05T08:39:31.888831+00:00,Affine encoding continuity benchmark.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/circuits/g1_k0_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/results/result_g1_k0_d9pfdkjbvhrs73a2i9ag.json,12345,2048,"{""canonical_length"": 2.9115548574621406, ""maximum_degree"": 1, ""minimum_m1_stratum"": 2, ""multilinear_support"": 3}",True,2026-08-05T08:39:46.561012+00:00,0.002238459070213139,"{""depth"": 60, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 61, ""operation_counts"": {""cz"": 7, ""measure"": 3, ""rz"": 35, ""sx"": 26}, ""size"": 71, ""swap_count"": 0, ""two_qubit_gate_count"": 7, ""width"": 159}",7,"{""estimated_remaining_seconds"": 9434.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1366, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
0.5,ibm_fez,"{""operational"": true, ""pending_jobs"": 1, ""status_msg"": ""active""}",phase1_calibration_ibm_fez,g1,"{""000"": 266, ""001"": 283, ""010"": 256, ""011"": 119, ""100"": 213, ""101"": 277, ""110"": 178, ""111"": 456}",0.4999999999999996,DONE,2026-08-05T08:46:04.614696+00:00,,d9pfdkrbvhrs73a2i9bg,1,sin2_pi_x_over_2,"{""depth"": 34, ""multi_qubit_gate_count"": 1, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 30, ""operation_counts"": {""ccx"": 1, ""cx"": 12, ""h"": 8, ""measure"": 3, ""ry"": 15, ""x"": 6, ""z"": 1}, ""size"": 46, ""swap_count"": 0, ""two_qubit_gate_count"": 12, ""width"": 6}",1124,0,0.04882812500000039,0.548828125,2026-08-05T08:39:31.893300+00:00,Affine encoding continuity benchmark.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/circuits/g1_k1_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/results/result_g1_k1_d9pfdkrbvhrs73a2i9bg.json,12345,2048,"{""canonical_length"": 2.9115548574621406, ""maximum_degree"": 1, ""minimum_m1_stratum"": 2, ""multilinear_support"": 3}",True,2026-08-05T08:39:47.746084+00:00,0.002937125042080879,"{""depth"": 241, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 245, ""operation_counts"": {""cz"": 27, ""measure"": 3, ""rz"": 145, ""sx"": 94, ""x"": 6}, ""size"": 275, ""swap_count"": 0, ""two_qubit_gate_count"": 27, ""width"": 159}",27,"{""estimated_remaining_seconds"": 9434.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1366, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
0.5,ibm_fez,"{""operational"": true, ""pending_jobs"": 1, ""status_msg"": ""active""}",phase1_calibration_ibm_fez,g2,"{""000"": 481, ""001"": 155, ""010"": 76, ""011"": 362, ""100"": 126, ""101"": 361, ""110"": 377, ""111"": 110}",0.5000000000000001,DONE,2026-08-05T08:46:05.527361+00:00,,d9pfdl628h6s739r88lg,0,sin2_pi_x,"{""depth"": 11, ""multi_qubit_gate_count"": 1, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 7, ""operation_counts"": {""ccx"": 1, ""cx"": 4, ""h"": 2, ""measure"": 3, ""ry"": 5}, ""size"": 15, ""swap_count"": 0, ""two_qubit_gate_count"": 4, ""width"": 6}",974,0,0.02441406250000011,0.4755859375,2026-08-05T08:39:31.912645+00:00,Quadratic encoding continuity benchmark with moderate depth.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/circuits/g2_k0_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/results/result_g2_k0_d9pfdl628h6s739r88lg.json,12345,2048,"{""canonical_length"": 6.473754857208568, ""maximum_degree"": 2, ""minimum_m1_stratum"": 1, ""multilinear_support"": 4}",True,2026-08-05T08:39:48.776060+00:00,0.018361333059147,"{""depth"": 116, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 116, ""operation_counts"": {""cz"": 16, ""measure"": 3, ""rz"": 70, ""sx"": 46}, ""size"": 135, ""swap_count"": 0, ""two_qubit_gate_count"": 16, ""width"": 159}",16,"{""estimated_remaining_seconds"": 9434.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1366, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
0.5,ibm_fez,"{""operational"": true, ""pending_jobs"": 1, ""status_msg"": ""active""}",phase1_calibration_ibm_fez,g2,"{""000"": 296, ""001"": 162, ""010"": 207, ""011"": 268, ""100"": 418, ""101"": 293, ""110"": 149, ""111"": 255}",0.4999999999999996,DONE,2026-08-05T08:46:06.295454+00:00,,d9pfdlbbvhrs73a2i9c0,1,sin2_pi_x,"{""depth"": 37, ""multi_qubit_gate_count"": 4, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 30, ""operation_counts"": {""ccx"": 4, ""cx"": 12, ""h"": 8, ""measure"": 3, ""ry"": 15, ""x"": 6, ""z"": 1}, ""size"": 49, ""swap_count"": 0, ""two_qubit_gate_count"": 12, ""width"": 6}",1115,0,0.04443359375000039,0.54443359375,2026-08-05T08:39:31.917804+00:00,Quadratic encoding continuity benchmark with moderate depth.,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/circuits/g2_k1_transpiled.qasm,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase1_calibration_ibm_fez/20260805T083930Z/results/result_g2_k1_d9pfdlbbvhrs73a2i9c0.json,12345,2048,"{""canonical_length"": 6.473754857208568, ""maximum_degree"": 2, ""minimum_m1_stratum"": 1, ""multilinear_support"": 4}",True,2026-08-05T08:39:49.881376+00:00,0.0027452498907223344,"{""depth"": 421, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 428, ""operation_counts"": {""cz"": 63, ""measure"": 3, ""rz"": 250, ""sx"": 172, ""x"": 6}, ""size"": 494, ""swap_count"": 0, ""two_qubit_gate_count"": 63, ""width"": 159}",63,"{""estimated_remaining_seconds"": 9434.0, ""usage_allocation_seconds"": 10800, ""usage_consumed_seconds"": 1366, ""usage_limit_reached"": false, ""usage_limit_seconds"": 10800, ""usage_period"": {""end_time"": ""2027-08-02T17:13:13.026Z"", ""start_time"": ""2026-08-02T17:13:13.026Z""}}"
